contest_name,organizer,deadline,link,source_site
삼성생명 금융캠퍼스 6기 모집 (3일과정),삼성생명,2026-03-19,https://samsunglife-sfp.com/jobs/RC20250523018321,위비티
제17회 중소기업 바로알리기 IDEA 공모전,중소기업중앙회,2026-03-20,https://www.kbiz.or.kr/ko/cscm/event2/view.do?mnSeq=1741&seq=7884&pg=1&pgSz=9,위비티
LG전자 앰버서더 4기 모집,LG전자,2026-03-24,https://vo.la/dSD8lDb,위비티
2026 부산 K-관광콘텐츠 활용 FIT상품 공모전,"부산광역시, 부산관광공사",2026-03-26,https://touraz.kr/announcementList/pssrpView?tabMode=other&bbsSeq=646384,위비티
(4주) 신춘문예 작가님에게 글쓰기를 배워보세요! 참여자 모집 중,작필(作筆,2026-03-27,https://cafe.naver.com/egowriting/12347,위비티
[서울특별시 X 한국외식업중앙회] 외식산업 전문가 인력양성 - 2026 서울 매력일자리 사업 참여자 모집,서울특별시 X 한국외식업중앙회,2026-03-30,https://kfiri.org/,위비티
2026 대학생 PR-Competition,한국광고홍보학회 / 한국광고홍보학회,2026-04-03,https://kadpr.or.kr/board/confInfo/article/273830,위비티
2026 광화문글판 대학생 에세이 공모전,교보생명,2026-04-05,https://vo.la/sLTFOR,위비티
[TOSS] 재한외국인 실전 마케팅 전략 공모전 : TOSS FOREIGNER BRIDGE CREW,비바리퍼블리카 (toss),2026-04-05,https://toss.im/_m/F0knkAWb,위비티
제7기 과기정통부 LMO SAFETY 기자단 모집,과학기술정보통신부 / 국가연구안전관리본부,2026-04-05,https://www.lmosafety.or.kr/mps/competition/registForm/86,위비티
[하나금융그룹] 하나 청년 금융인재 양성 프로젝트 참가자 모집,하나금융그룹 / 아이들과미래재단,2026-04-06,https://www.hanapoweron.com,위비티
2026년 광주·전남 대학(원)생 상표·디자인 아이디어 경진대회,"지식재산처, 한국발명진흥회, 전남대학교",2026-04-11,https://www.jnuipe.com/lms/sub0501.do?mode=view&boardIdx=NTC000739,위비티
2026 KBI 금융 AI 리터러시 론칭 기념 자격 홍보 콘텐츠 공모전,한국금융연수원,2026-04-13,https://www.kbi.or.kr/platformWeb/Introduction.do?cmd=openPage&pageName=introductionContestInfo,위비티
2026 도핑방지 논문 공모전,한국도핑방지위원회,2026-04-15,https://www.kada-ad.or.kr/boardView?where=alm/alm_kada_notice_view&board_seq=3270&board_kind=notice,위비티
