공모전이름,주최사,마감일,링크
2026 국민행복증진 철도·대중교통·물류 아이디어 공모전,주최사 정보 미상,정보 없음,정보 없음
2026 국민행복증진 철도·대중교통·물류 아이디어 공모전,한국철도기술연구원,정보 없음,정보 없음
"AI로 그리는 스마트도시 2026 국가시범도시 (세종, 부산) 혁신서비스 아이디어 공모전",주최사 정보 미상,정보 없음,정보 없음
국토교통부 중련 운행 우리말 이름 공모전,주최사 정보 미상,정보 없음,정보 없음
제11회 부산아이파크 어린이 그림 그리기 대회,사 및 관계 기관 내부 심사 기준에 따름,정보 없음,정보 없음
제33회 한글글꼴디자인 공모전,주최사 정보 미상,정보 없음,정보 없음
"2026 사막화·가뭄 방지를 위한 나무 한 컷, 우리의 이야기 공모전",산림청,정보 없음,정보 없음
2026 서울청년정책네트워크 하반기 정책제안 활동 참가 위원 모집,서울특별시,정보 없음,정보 없음
2026년 경기도 공공데이터·AI 활용 창업경진대회,경기도,정보 없음,정보 없음
2026년 경상북도 공공부문 규제혁신 아이디어 공모전,경상북도,정보 없음,정보 없음
2026년 고성군 행정규제개선 공모전,고성군,정보 없음,정보 없음
"2026년 광양 한 컷, 행복 한 컷 인구정책 가족사진 공모전",광양시,정보 없음,정보 없음
2026년 김천시 저출생 극복 정책 제안 공모전,김천시,정보 없음,정보 없음
2026년 대구 북구 규제혁신 아이디어 공모전,대구광역시 북구,정보 없음,정보 없음
2026년 함평군 규제개혁 아이디어 공모전,함평군,정보 없음,정보 없음
2026년 화성특례시 산업안전 아이디어·슬로건 공모전,화성특례시,정보 없음,정보 없음
[한국도로공사] 건설현장 상생협력 아이디어 대국민 공모전,한국도로공사,정보 없음,정보 없음
제2회 법령데이터 활용 아이디어 공모전,법제처,정보 없음,정보 없음
탄소중립 녹색 스마트도시 조성을 위한 국민 아이디어 공모전,평택시,정보 없음,정보 없음
해양경찰청 2026 구명조끼 생명조끼 캠페인송 공모전,해양경찰청,정보 없음,정보 없음
2026 대경문화예술고등학교장배 전국 중·고등학생 e스포츠 대회(발로란트),],정보 없음,정보 없음
