contest_name,organizer,deadline,link,source_site
2026년 강서구 청렴 아이디어 및 슬로건 공모전,부산광역시 강서구,2026-05-01,https://blog.naver.com/bsgangseogu/224245310774,위비티
[2026 상반기 공모전] KSEA 미래 서비스 공모전,한국서비스교육전문협회,2026-05-10,https://www.ksea.site/bbs/board.php?bo_table=notice≀_id=68,위비티
2026년 제1회 안성시 시정발전 제안공모전,안성시,2026-05-14,https://www.epeople.go.kr/cmmn/idea/redirect.do?ideaRegNo=1AE-2604-0001294,위비티
제30회 부평풍물대축제 아이디어 공모,부평구축제위원회,2026-05-15,https://portal.icbp.go.kr/bpf/community/notice.asp?page=v&seq=2297,위비티
한화생명 드림플러스 인베스터 클럽 2기 모집,한화생명 드림플러스,2026-05-18,https://vo.la/HDynhd5,위비티
2026년 제1회 구리시 정책제안 공모전,경기도 구리시,2026-05-19,https://www.epeople.go.kr/cmmn/idea/redirect.do?ideaRegNo=1AE-2604-0001170,위비티
"AI로 그리는 스마트도시 2026 국가시범도시(세종, 부산) 혁신서비스 아이디어 공모전","국토교통부, 스마트도시협회",2026-05-21,https://www.smartcityidea.co.kr/contests,위비티
[세종시사회서비스원] 2026년 시민복지 아이디어 공모전,세종시사회서비스원,2026-05-22,https://sj.pass.or.kr/board.es?mid=a10401000000&bid=0011&list_no=2412&act=view,위비티
"[방송미디어통신위원회, 한국인터넷진흥원]2026 위치정보 맞춤형 컨설팅 참여기업 모집(상시)",주최사 정보 미상,2026-05-27,https://www.korealbs.or.kr,링커리어
독도를 지키는 작은 발명 아이디어 공모전,한국발명진흥회,2026-05-27,https://www.kipa.org/kipa/notice/kw_0403_01.jsp?mode=view&article_no=124756,위비티
2026년 경상북도 공공부문 규제혁신 아이디어 공모전,경상북도,2026-05-29,https://www.gb.go.kr/Main/page.do?mnu_uid=6786&BD_CODE=bbs_gongji&cmd=2&B_NUM=507774901&B_STEP=507774900,위비티
2026년 김천시 저출생 극복 정책 제안 공모전,김천시,2026-05-29,https://sotong.go.kr/front/epilogue/epilogueNewViewPage.do?bbs_id=124693ffcdd24f8ca6de0c3612b483be,위비티
탄소중립 녹색 스마트도시 조성을 위한 국민 아이디어 공모전,평택시 / 영국씨앤피,2026-05-29,https://yahoo.com,위비티
